delay_mean,delay_stdev,num,phase
6.77045163561141e-08,6.29477339819487e-11,500.0,194
6.76826679788256e-08,6.93083084378881e-11,500.0,195
6.77847953907013e-08,7.07901865435548e-11,500.0,196
6.79252506163089e-08,7.05611843580273e-11,500.0,197
6.80618851889604e-08,6.97674290343192e-11,500.0,198
6.81872324723468e-08,7.09912931930323e-11,500.0,199
6.82784069882817e-08,7.23695454147207e-11,500.0,200
6.83947922669318e-08,7.39506651815138e-11,500.0,201
6.85000608803836e-08,7.17395600811902e-11,500.0,202
6.86042135463915e-08,7.13594831264698e-11,500.0,203
6.87079096424418e-08,7.02910239129932e-11,500.0,204
6.88461786221073e-08,6.84164779584014e-11,500.0,205
6.89652392991881e-08,7.02326414484136e-11,500.0,206
6.91159678267909e-08,6.98920064903961e-11,500.0,207
6.9192872387188e-08,7.10512943077795e-11,500.0,208
6.92866287259362e-08,6.97339542771182e-11,500.0,209
6.92587777876221e-08,6.81329662147524e-11,500.0,210
6.93480492691681e-08,7.01273023355074e-11,500.0,211
6.94847890385364e-08,6.86189081112685e-11,500.0,212
6.96153961847531e-08,7.19827405001807e-11,500.0,213
6.97429955941731e-08,6.78765473741873e-11,500.0,214
6.98515308741084e-08,6.94847489373553e-11,500.0,215
6.99634841785793e-08,6.94438278279035e-11,500.0,216
7.00652465259184e-08,7.12573654199453e-11,500.0,217
7.01759152308661e-08,6.83704857931384e-11,500.0,218
7.02643357330744e-08,6.93039105674856e-11,500.0,219
7.03827973012759e-08,6.69098937073304e-11,500.0,220
7.05150322286386e-08,6.8979301279953e-11,500.0,221
7.06414879539089e-08,7.12985039871889e-11,500.0,222
7.07536446233757e-08,7.23809379505509e-11,500.0,223
7.08464137524642e-08,7.06054329042164e-11,500.0,224
7.08280614879978e-08,6.98217731470299e-11,500.0,225
7.09028076663719e-08,6.81420602698076e-11,500.0,226
7.1029419105337e-08,6.72777433793856e-11,500.0,227
7.11654963602614e-08,6.88777609814614e-11,500.0,228
7.12874704705859e-08,6.95415382939075e-11,500.0,229
7.13977096437719e-08,6.84334404321175e-11,500.0,230
7.15349059481599e-08,7.13835321821652e-11,500.0,231
7.16315772648248e-08,6.91282348555451e-11,500.0,232
7.17287557571081e-08,6.92447071473291e-11,500.0,233
7.18340654647827e-08,6.78600464819869e-11,500.0,234
7.19453376491041e-08,6.76299739032035e-11,500.0,235
7.20572933295827e-08,6.63801269897974e-11,500.0,236
7.21998507173352e-08,6.60060571005151e-11,500.0,237
7.22787018204249e-08,7.14966055115367e-11,500.0,238
7.2399544195602e-08,6.8506300244887e-11,500.0,239
