tofpet_id,channel,tac,a,b,c,d,x0,chi2,dof
0,0,0,0.00023477238313087323,0.13982680774975229,26.537731667128593,380.44127660430644,122.2555107577561,3949.501774523423,3070
0,0,1,0.00023160131390092832,0.13975988116329166,26.485413545577313,380.2138663735803,122.64941551743819,4017.609973373102,3072
0,0,2,0.00023135970330518483,0.13908764065619672,26.553665576403862,380.14809219064955,122.86171333906042,3919.4535412351925,3070
0,0,3,0.0002318457172051907,0.1387722693668855,26.46420484038196,380.26953644384366,123.46534479476092,3925.5956388467607,3071
0,1,0,0.0002601002727924824,0.14835006089909025,26.670326439083357,379.9412398058603,114.23353289294475,4152.464726486027,3146
0,1,1,0.00026094019182211687,0.1482710591365028,26.546696765650363,379.1876374001281,114.51048621730597,4178.481621342361,3145
0,1,2,0.0002515837622293706,0.14748961267251723,26.748316327809537,379.34945990587977,114.74458146225287,4369.268468418846,3146
0,1,3,0.000245302137899078,0.14594463832029286,26.979561112916674,379.6849141025782,115.20423396528827,4302.531633370362,3145
0,2,0,0.00023463500053043701,0.13932041865247652,24.013709366022493,335.30201559153227,120.34295216819226,2957.8331990847596,3071
0,2,1,0.00023386700583237212,0.13924728333890057,23.90642255103594,334.83121378989426,120.74580500828547,3026.0789266038855,3070
0,2,2,0.00022797166259717495,0.1390000655360773,24.001959511169787,334.7899457081254,120.90350846621409,3063.2916398254656,3071
0,2,3,0.0002194447051793178,0.13736084637373042,24.2902944917504,335.0824312709717,121.3653775845728,2824.461967395207,3071
0,3,0,0.0001764042120445158,0.11688127376685788,26.309509582604136,364.28045232731904,142.84857668990776,6159.0472545070625,2970
0,3,1,0.00018067236319582267,0.1171748227407307,26.06269832662003,363.86836985763387,143.29993944683594,5853.372149753234,2960
0,3,2,0.0001771800625008182,0.11596089873488748,26.319610351209047,363.6992289971365,143.54444801828106,6088.904620606682,2959
0,3,3,0.00018795587568616874,0.11691866151209837,25.75407876567106,364.24830460096,144.56862677764937,5287.564788720451,2937
0,4,0,0.00017911391707002157,0.11907415525496313,25.68402085727702,374.5257344050602,145.6212382257928,7302.800257613901,2983
0,4,1,0.00018352615502754992,0.11853341498079839,25.61559059942144,374.5876641787057,146.14148961575458,6693.409782024921,2963
0,4,2,0.00017926273168489563,0.11846732280983807,25.671986109965825,374.5913927268919,146.3518904242073,6769.263888894115,2964
0,4,3,0.00018557909917448997,0.11882056944344296,25.334791359621033,374.6661640346188,147.22712957123346,6586.375241199056,2951
0,5,0,0.000249229191607894,0.1438306302447667,26.719889757340965,399.564947559799,123.83935442879829,4074.3592071688804,3071
0,5,1,0.0002517412662676545,0.14371726639323107,26.576516292028746,399.33665452202655,124.29059949865979,3946.0309375061224,3070
0,5,2,0.00024129235967973637,0.14230946057914765,26.947020059372328,399.13678180743506,124.32596520902052,3860.0180563044264,3070
0,5,3,0.00024352265861546827,0.14225478539561273,26.780210504192638,399.3138489060298,124.93318893115598,3920.6370410711656,3072
0,6,0,0.00023826155796699157,0.1377186884143725,25.33921275692894,379.2315391411324,128.10076762730355,4147.139056935937,3070
0,6,1,0.00023679288353688227,0.1374800893809549,25.282215392657978,378.72508944818117,128.49388887994374,4204.197545111887,3070
0,6,2,0.0002251295421836174,0.1362637314081744,25.623953914672988,378.6647690192898,128.60266547265584,4581.537959066802,3071
0,6,3,0.0002311494518598697,0.1358099708683624,25.448050225461678,378.7852749944711,129.30825297118687,4394.025119131401,3071
0,7,0,0.000299006403619549,0.15155776056289483,26.420018826922583,378.489309842324,110.91416476072432,3642.232705162194,3146
0,7,1,0.0002923059894312862,0.15087232017290922,26.491963473385194,378.13604775634144,111.24919857925767,3702.6669993212276,3145
0,7,2,0.0002925076521818291,0.15119557826162938,26.405276508531912,378.1907121752896,111.43677935663045,3930.79226424293,3145
0,7,3,0.00028686761687911724,0.15013961961097583,26.522725714541078,378.2424588060738,111.89081016127588,3958.0380926302546,3145
0,8,0,0.00014791835640947133,0.109775268440672,26.6161138389224,367.05611925413814,150.73466778276978,3840.4636051495354,2920
0,8,1,0.0001421190056708961,0.10824331059442156,27.028807150987816,366.89007827750476,150.992776556199,3929.690615993138,2922
0,8,2,0.00014579024717954612,0.10927001128231449,26.619125948171533,366.6565222533711,151.45312241920905,3961.427717831749,2920
0,8,3,0.00014029823384217985,0.10805564625147213,26.890887691359136,367.0133411879372,152.14531577774807,4097.268914549242,2922
0,9,0,0.000226081334570321,0.13525490311159105,25.910903378337633,367.9241674913752,125.37595291000618,3297.9653820342432,3071
0,9,1,0.00022564704223735577,0.13497210333456813,25.864235169225452,367.7117484333923,125.74671536584282,3353.7195440403207,3070
0,9,2,0.00021754460465370155,0.13353584074059974,26.197578386205013,367.5199258687203,125.89985822920202,3430.6119722053086,3071
0,9,3,0.00021465140740978034,0.13349966097169708,26.133071451494835,367.9457346986751,126.47586523001294,3406.920045548971,3072
0,10,0,0.0002350914240680109,0.1395627949001677,25.55782182266251,371.1721255102713,123.780412009625,3957.906768524469,3070
0,10,1,0.00023345691299921008,0.13916015970678322,25.532575229177063,370.7410098492578,124.14598748342625,3970.2711296766474,3070
0,10,2,0.00021949531199104804,0.13783069159716713,25.96226789195748,370.7497220403611,124.18085109059614,4042.1573651243225,3071
0,10,3,0.0002145370285690277,0.13671378250591484,26.085722250376953,371.0495302682316,124.82341568895983,4028.5285566964158,3070
0,11,0,0.0002226156470151164,0.12996641880425253,26.440356935535473,370.4538469929436,127.74911946643186,5126.581814682829,3072
0,11,1,0.0002184068771519262,0.12945091330871036,26.48728306872177,370.34008276455927,128.1521558044696,5259.80049505056,3072
0,11,2,0.00021701780694993402,0.1283034464418811,26.692126422339552,370.0857836003073,128.27643156531923,5268.741331788538,3071
0,11,3,0.0002187983860035885,0.12919091399548902,26.336998999692216,370.23802255470537,128.93138763924563,5498.599339502928,3070
0,12,0,0.00019210281074506005,0.14198230354487398,28.986421227996257,379.3373892521884,113.837313911703,6787.427889608029,3144
0,12,1,0.00019181305225468651,0.14063674638188478,29.11428701407063,379.06099766774133,114.22143076966555,6911.441091417335,3134
0,12,2,0.0001888873567457506,0.14062827151182164,29.097922623332657,378.9468117009026,114.42931361579025,7252.086375067011,3128
0,12,3,0.00019969047332208235,0.14102391428041916,28.716329869786094,379.0513528327332,115.01367206575934,6708.455656019659,3111
0,13,0,0.0001559899123340385,0.11632454024509627,26.939417304859262,355.2460677324551,138.2732658181732,3838.225527446758,2996
