tofpet_id,channel,tac,tdc,a,b,c,x0,chi2,dof
0,0,0,0,-0.48526086508139676,-159.25760648602073,356.3514828694489,0.03269093592279104,420.31080240832733,236
0,0,0,1,-0.010000000000000002,-157.89408005682822,344.1491448899626,0.009282701055281173,467.44443029195406,236
0,0,1,0,-0.8677482599649635,-158.81077126646068,346.4923875965655,0.03141471696314457,411.6922129665647,236
0,0,1,1,-0.010000000000045308,-157.42734925920476,343.3440005439538,0.0019345777638869466,483.98185324549576,236
0,0,2,0,-0.44623775154917833,-158.48119922824483,345.7867767285022,0.0273656084366386,395.0442443390263,236
0,0,2,1,-0.010000000001270439,-157.52863837924096,344.9493212186861,0.005537028575829828,488.01700489749595,236
0,0,3,0,-0.4569284762371889,-159.46674431083497,346.97385913184473,0.03144000657997015,379.4275727750912,236
0,0,3,1,-0.010000000000109682,-157.42231824425374,344.2198572724488,0.001352791762129102,495.1585438137837,236
0,1,0,0,-0.32592765052976097,-148.47965304293444,330.9620306486444,0.03294655308761141,437.8150425267966,236
0,1,0,1,-0.22677137642792441,-159.89068773256645,347.7541870478819,0.010155929986057743,496.3268178101587,236
0,1,1,0,-0.779080488231426,-146.68777381132963,320.41163048365524,0.03142963938046417,334.0091169523533,236
0,1,1,1,-1.393304210174978,-158.31680234068355,347.50741727730576,0.013023911745949857,457.9578132799917,236
0,1,2,0,-0.01000000000028893,-148.04710843836102,321.4671939479191,0.020236660325418376,348.34066539264643,236
0,1,2,1,-0.49499892814515367,-159.46546016529157,346.6613791859605,0.012347253368776623,439.6735719637235,236
0,1,3,0,-0.010000000000391654,-147.462059784503,321.2457323681765,0.030118973725812515,371.3969513565132,236
0,1,3,1,-0.01000000000268305,-159.4747713193683,347.2320242310753,0.01350527290038639,467.66230729035374,236
0,2,0,0,-1.8509571576622188,-162.18214543926163,367.0718591792655,0.018838088899314487,425.876668976171,236
0,2,0,1,-3.195654378854862,-146.39976556856215,325.80798792079224,-0.0013395641460894891,570.1463536343421,236
0,2,1,0,-0.9801513807702236,-163.53845918543854,359.9784151674198,0.012347260265259896,418.32619455385475,236
0,2,1,1,-1.622716570237442,-147.6148557660036,324.43155689709334,0.004296035584062108,407.81721769491634,236
0,2,2,0,-0.980828958357747,-162.4212430872681,356.4638950754105,0.018049401672563636,402.9195373524592,236
0,2,2,1,-1.8685898711816156,-146.34119757240674,321.4298386546672,0.002355360212916602,465.98464365050177,236
0,2,3,0,-1.2697703867028831,-162.78237363653204,357.78676120819284,0.01591057431688525,408.2147728004286,236
0,2,3,1,-2.2113016986929455,-146.99820166634245,323.9124395648221,0.0052788440711796225,492.78484997207784,236
0,3,0,0,-0.23341474349077082,-161.74650017931157,358.1784236005799,0.030375935078692073,343.3774485701465,236
0,3,0,1,-0.8293090977281513,-157.46483535618583,341.86104820492835,0.01804939649729964,375.8749561120446,236
0,3,1,0,-1.5359745350712157,-159.4665769627678,348.1424424289032,0.03302180406010935,489.44268264532866,236
0,3,1,1,-1.8000934564822686,-157.0203657947364,342.43141013453766,0.013263793118229561,476.83397235666075,236
0,3,2,0,-0.7650449145937459,-160.20029551453553,345.49847691457956,0.03296815386427043,455.33184230170343,236
0,3,2,1,-2.3450444596968794,-155.29804449350934,341.61527286216733,0.012347259924652465,446.7179716795747,236
0,3,3,0,-0.010000000000555448,-162.33286412050293,346.99434354638026,0.03334600940314991,450.21570631597194,236
0,3,3,1,-0.15379641771202743,-158.14540929304175,343.7230532976766,0.018049395296475423,422.8701002906889,236
0,4,0,0,-0.32372563870286836,-162.74627016857912,365.3234693114934,0.03302178591917382,380.5328291249766,236
0,4,0,1,-0.010000000001924957,-153.76035269265893,334.7478505434843,0.022449825166126147,375.7928535534927,236
0,4,1,0,-1.9543488575711956,-160.88857780527576,355.5584489060252,0.032978360445624966,387.6290971860634,236
0,4,1,1,-0.010000000016657216,-153.95315717211318,334.37128519147524,0.01818015640980364,427.1019864449681,236
0,4,2,0,-1.324792786670951,-162.13424448892997,356.40425948849645,0.0330217795436516,382.2150772824852,236
0,4,2,1,-0.010000000000001025,-153.79474635918976,335.42530111022796,0.021792802695728142,396.4042879830115,236
0,4,3,0,-0.40271005296033285,-162.80356068865052,356.6929824429735,0.03194428843810426,407.45568650118605,236
